ventana,units,dropout,reg_l2,optimizer,val_loss
30,64,0.2,0.0,adam,1958.0684814453125
30,64,0.2,0.0,rmsprop,2067.447021484375
30,64,0.2,0.001,adam,2137.458984375
30,64,0.2,0.001,rmsprop,1792.7744140625
30,64,0.3,0.0,adam,1722.633544921875
30,64,0.3,0.0,rmsprop,2783.7041015625
30,64,0.3,0.001,adam,1987.445068359375
30,64,0.3,0.001,rmsprop,2662.989990234375
30,128,0.2,0.0,adam,2074.038330078125
30,128,0.2,0.0,rmsprop,1931.2467041015625
30,128,0.2,0.001,adam,1735.3309326171875
30,128,0.2,0.001,rmsprop,1943.364990234375
30,128,0.3,0.0,adam,2005.713134765625
30,128,0.3,0.0,rmsprop,1776.8555908203125
30,128,0.3,0.001,adam,1869.3133544921875
30,128,0.3,0.001,rmsprop,1786.1744384765625
50,64,0.2,0.0,adam,1174.8973388671875
50,64,0.2,0.0,rmsprop,1748.5205078125
50,64,0.2,0.001,adam,1176.232421875
50,64,0.2,0.001,rmsprop,1449.4539794921875
50,64,0.3,0.0,adam,1297.767333984375
50,64,0.3,0.0,rmsprop,1343.6614990234375
50,64,0.3,0.001,adam,1603.2135009765625
50,64,0.3,0.001,rmsprop,1487.7149658203125
50,128,0.2,0.0,adam,1154.9564208984375
50,128,0.2,0.0,rmsprop,1393.2607421875
50,128,0.2,0.001,adam,1261.1180419921875
50,128,0.2,0.001,rmsprop,2004.6005859375
50,128,0.3,0.0,adam,1677.771484375
50,128,0.3,0.0,rmsprop,1525.8736572265625
50,128,0.3,0.001,adam,1411.116943359375
50,128,0.3,0.001,rmsprop,1678.85009765625
